BioWare Version 5.3.0.7 Export
Device:	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA
Samples (#):	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	5995	5995	5995	5995	5995	5999	5999	5999	5999	5999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	29.975000	29.975000	29.975000	29.975000	29.975000	29.995001	29.995001	29.995001	29.995001	29.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Nov 11, 2022  11:09:25
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Ax	Ay	Fx	Fy	Fz	Ax	Ay
	N	N	N	m	m	N	N	N	m	m
0.210000	-0.520235	-0.379844	-4.777979	0.000000	0.000000	2.782177	1.915424	542.622414	-0.008752	-0.038578
0.215000	-0.831958	-0.535309	-6.860699	0.000000	0.000000	1.847923	1.053444	534.709877	-0.008964	-0.039646
0.220000	-0.286283	-0.379844	-2.002071	0.000000	0.000000	2.237219	1.445320	538.840118	-0.008684	-0.038654
0.225000	-0.052650	0.008658	0.776600	0.084479	-0.143040	3.482243	2.150116	549.498146	-0.009102	-0.037070
0.230000	-0.208512	-0.146489	0.081439	-0.646103	-3.669503	3.326302	2.071884	549.500084	-0.008877	-0.037411
0.235000	0.103211	0.009293	0.081439	-0.730312	-3.711586	3.093225	1.915424	547.095169	-0.008579	-0.037744
0.240000	-0.598325	-0.301953	-5.819537	0.000000	0.000000	1.769953	0.740284	535.058983	-0.008392	-0.040137
0.245000	0.025440	0.087183	0.081439	-0.709303	-3.732627	2.859869	1.523792	543.659630	-0.008184	-0.038662
0.250000	-0.364055	-0.224380	-3.737211	0.000000	0.000000	2.392883	1.210388	538.500717	-0.008137	-0.039899
0.255000	-0.286283	-0.301953	-1.306910	0.000000	0.000000	2.859869	1.288620	542.971901	-0.008195	-0.038353
0.260000	-0.909411	-0.768031	-6.860699	0.000000	0.000000	3.482243	1.523552	547.785614	-0.008363	-0.037334
0.265000	-0.286283	-0.224063	-2.695652	0.000000	0.000000	3.248888	1.445320	546.066483	-0.008272	-0.037969
0.270000	0.103530	-0.068915	2.163766	-0.027363	-0.050750	3.171196	1.445320	543.318672	-0.007870	-0.038858
0.275000	0.181302	0.164440	1.816975	0.000026	0.094438	3.171473	1.288620	543.320610	-0.007649	-0.039199
0.280000	0.570796	0.552943	4.940464	-0.014037	-0.025040	3.949787	1.602024	546.072693	-0.007638	-0.038666
0.285000	0.493662	0.242331	3.204534	-0.002151	-0.006610	3.950064	1.445320	546.074234	-0.007418	-0.039008
0.290000	0.259392	0.319905	3.204534	-0.000543	-0.007143	4.417053	1.601784	549.512093	-0.007606	-0.038082
0.295000	0.181302	0.242331	3.552904	-0.051328	-0.032927	5.506691	2.306576	556.046867	-0.007661	-0.037488
0.300000	-0.130422	-0.224380	-0.612539	0.000000	0.000000	4.495024	1.445320	548.823982	-0.007619	-0.038468
0.305000	0.259392	0.319905	2.857743	-0.021845	0.025362	3.949787	1.131676	544.010666	-0.007448	-0.039143
0.310000	0.181620	0.319905	1.816185	-0.000054	-0.012544	3.950064	1.053444	541.950974	-0.007034	-0.039638
0.315000	-0.364055	-0.302270	-3.389630	0.000000	0.000000	4.027756	0.896984	542.296204	-0.006922	-0.039431
0.320000	0.103530	0.164440	0.081439	-0.730398	-3.753497	4.495024	1.366848	546.419067	-0.007325	-0.039499
0.325000	-0.364055	-0.224380	-3.736027	0.000000	0.000000	4.806349	1.445080	549.512093	-0.007622	-0.038419
0.330000	-0.286283	-0.068915	-0.959329	0.000000	0.000000	4.728657	1.053444	548.823982	-0.007629	-0.038452
0.335000	-1.065273	-0.691091	-5.473140	0.000000	0.000000	3.561049	0.270180	538.510788	-0.007067	-0.040563
0.340000	-0.130104	-0.146806	-2.002071	0.000000	0.000000	3.950064	0.818756	542.292702	-0.007141	-0.041175
0.345000	0.181302	0.242014	2.163766	-0.028154	-0.053912	4.183975	0.740524	542.978485	-0.007363	-0.041119
0.350000	-0.130104	-0.069232	-2.695652	0.000000	0.000000	4.495302	0.975700	545.385727	-0.007450	-0.040079
0.355000	-0.909730	-0.380161	-6.166328	0.000000	0.000000	3.405663	-0.042740	537.820358	-0.007295	-0.041306
0.360000	0.415253	0.242014	5.287254	-0.000991	-0.040141	4.728657	0.897469	549.509384	-0.007838	-0.039773
0.365000	-0.052332	0.086233	0.776600	0.084470	-0.145238	4.495302	0.662296	548.476433	-0.007954	-0.039667
0.370000	0.181620	0.164440	2.858927	-0.021310	-0.040206	4.261667	0.349373	546.409760	-0.008197	-0.040844
0.375000	0.961246	0.785982	7.022790	-0.011059	0.008814	4.572994	0.897953	549.508614	-0.007832	-0.040807
0.380000	0.415253	0.552627	4.940464	0.011280	0.013656	3.716988	-0.042019	542.628998	-0.007903	-0.041637
0.385000	0.025758	0.086233	1.121814	-0.213794	-0.186330	4.028034	0.114441	546.066475	-0.008083	-0.041381
0.390000	0.025758	0.008342	0.082229	0.778550	0.971362	3.872650	-0.355419	546.064545	-0.008297	-0.041361
0.395000	-0.208194	-0.146806	-2.348468	0.000000	0.000000	3.716988	-0.747295	543.310913	-0.008557	-0.040860
0.400000	-0.052013	-0.224380	-0.959329	0.000000	0.000000	3.561325	-0.825527	543.308594	-0.008773	-0.041552
0.405000	-0.285965	-0.224697	-0.959329	0.000000	0.000000	3.794958	-0.747295	544.682495	-0.008980	-0.041449
0.410000	-0.052013	-0.146806	-0.612932	0.000000	0.000000	3.327692	-0.982227	541.245796	-0.008577	-0.043453
0.415000	-0.987501	-0.613516	-9.290213	0.000000	0.000000	2.938675	-1.373859	537.118271	-0.008631	-0.043772
0.420000	-0.130104	-0.069232	-0.266142	0.000000	0.000000	3.716988	-1.295387	543.991272	-0.009210	-0.042873
0.425000	-0.207875	-0.224697	-0.959329	0.000000	0.000000	3.639294	-1.452091	542.956390	-0.009558	-0.042774
0.430000	-0.285965	-0.224697	-2.695652	0.000000	0.000000	3.483355	-1.687263	542.609215	-0.009891	-0.042966
0.435000	-0.052013	0.086233	1.468604	-0.120821	-0.207268	3.327692	-1.843723	543.639832	-0.009976	-0.043053
0.440000	-0.519598	-0.458052	-4.432372	0.000000	0.000000	2.860704	-1.687023	543.637512	-0.010179	-0.043754
0.445000	-0.364055	-0.224697	-4.084791	0.000000	0.000000	2.004421	-2.391819	536.073685	-0.009846	-0.045404
0.450000	-0.052013	-0.069232	0.081439	-0.688380	-3.690373	2.783010	-1.765011	543.292297	-0.010293	-0.043954
0.455000	-0.909411	-0.613516	-6.861489	0.000000	0.000000	2.160360	-2.470051	539.162445	-0.010574	-0.044613
0.460000	-0.052013	-0.147123	-0.265352	0.000000	0.000000	2.627348	-2.078175	543.290367	-0.010508	-0.043593
0.465000	0.181938	0.241380	2.857743	-0.021249	0.025966	2.549377	-1.999943	544.662331	-0.010919	-0.043484
0.470000	-0.208194	-0.069232	-0.612932	0.000000	0.000000	2.471685	-1.999943	543.628609	-0.011049	-0.044439
0.475000	-1.143045	-1.157801	-8.941842	0.000000	0.000000	1.459740	-2.705219	535.719925	-0.010842	-0.045951
0.480000	0.103848	0.086233	0.429020	0.286676	-0.040107	2.160360	-2.156647	540.190346	-0.010887	-0.045418
0.485000	0.181620	0.241380	3.204534	-0.000009	-0.006604	3.094059	-1.608551	547.410919	-0.011104	-0.044665
0.490000	-0.129785	-0.224697	-2.001675	0.000000	0.000000	2.627348	-2.313831	542.593330	-0.011410	-0.044686
0.495000	-0.753550	-0.535943	-6.513908	0.000000	0.000000	2.160360	-2.784176	539.496811	-0.011571	-0.045097
0.500000	0.181620	0.241380	3.899695	-0.031203	-0.054448	2.860704	-2.235840	544.997856	-0.011698	-0.044665
0.505000	-0.052013	-0.069549	-0.612932	0.000000	0.000000	2.860704	-2.235840	545.340752	-0.011801	-0.044810
0.510000	0.181620	0.241380	2.857743	-0.021247	0.025966	2.783010	-2.157372	544.654572	-0.011592	-0.045218
0.515000	0.727613	0.630200	4.940464	0.009889	0.013311	2.938675	-2.000912	545.684799	-0.011686	-0.046006
0.520000	-0.207875	-0.069549	-0.959329	0.000000	0.000000	2.860704	-2.314312	546.369415	-0.012108	-0.044895
0.525000	0.025758	0.008342	2.163766	0.029651	0.036814	2.627069	-2.705948	545.679367	-0.012335	-0.044936
0.530000	0.181938	0.241064	2.163766	0.028063	0.034448	2.549377	-2.862892	545.332199	-0.012672	-0.045131
0.535000	-0.052013	0.163173	0.428230	0.010806	-0.936462	1.693094	-3.489452	541.201981	-0.012960	-0.046151
0.540000	0.104167	0.163490	2.510163	-0.047742	-0.007834	2.471407	-2.627716	549.112190	-0.012906	-0.045347
0.545000	0.104167	0.241380	1.468604	0.042511	0.050749	1.926172	-2.549004	547.391129	-0.013037	-0.045666
0.550000	0.181938	0.241064	2.510163	-0.048424	-0.008514	1.693094	-2.627232	546.701080	-0.013265	-0.045721
0.555000	0.493980	0.474102	3.205324	-0.040063	-0.008267	2.004143	-2.470772	549.453156	-0.013208	-0.045152
0.560000	0.103848	0.163490	0.429020	0.286676	-0.044069	1.381769	-3.019352	543.261261	-0.013340	-0.045996
0.565000	0.103848	0.241064	3.552114	-0.016651	-0.032865	1.304077	-3.019352	544.976143	-0.013845	-0.045676
0.570000	-0.052013	0.163490	1.816975	-0.064103	-0.010764	1.537153	-2.941120	545.663864	-0.013836	-0.045968
0.575000	-0.675141	-0.614150	-4.431582	0.000000	0.000000	1.226107	-3.019352	542.226776	-0.013693	-0.045907
0.580000	0.026395	0.007708	-2.002071	0.000000	0.000000	1.070166	-2.784176	541.197311	-0.013380	-0.046879
0.585000	0.493662	0.629884	4.593673	-0.001456	0.035078	2.393436	-1.844208	551.165688	-0.013945	-0.044865
0.590000	0.026077	0.163173	2.163766	-0.026575	-0.053110	1.615402	-2.314312	546.354309	-0.013601	-0.045243
0.595000	-0.675141	-0.536576	-6.860305	0.000000	0.000000	0.914780	-3.254520	536.718773	-0.014275	-0.046372
0.600000	-0.285328	-0.147439	0.776600	0.091070	-0.138618	0.992472	-2.941120	539.130272	-0.013877	-0.045649
0.605000	-0.518961	-0.614150	-4.777979	0.000000	0.000000	1.459740	-2.314312	544.629372	-0.014192	-0.045212
0.610000	-0.285328	-0.225330	-2.002071	0.000000	0.000000	1.848480	-2.001148	547.040100	-0.013813	-0.045199
0.615000	-0.675141	-0.458369	-4.777979	0.000000	0.000000	1.147858	-2.236080	540.849007	-0.013948	-0.045706
0.620000	-0.519280	-0.458369	-5.818747	0.000000	0.000000	1.459461	-2.236324	544.284538	-0.014312	-0.045070
0.625000	-0.129785	0.085599	-0.959329	0.000000	0.000000	1.070166	-2.628437	541.877686	-0.014251	-0.045082
0.630000	-0.129785	-0.225014	-0.960513	0.000000	0.000000	1.381769	-2.549969	541.191895	-0.014060	-0.045490
0.635000	0.415890	0.474736	5.633651	-0.011693	-0.021673	1.926172	-2.001633	549.102509	-0.013981	-0.044338
0.640000	0.103848	-0.069549	2.510953	-0.096118	-0.005877	2.003864	-2.080105	548.757278	-0.014103	-0.044192
0.645000	-0.285965	-0.225014	-3.042049	0.000000	0.000000	1.848202	-1.845173	546.693718	-0.014152	-0.044367
0.650000	-0.441508	-0.225330	-4.777979	0.000000	0.000000	1.459183	-2.315281	543.253922	-0.014229	-0.044283
0.655000	0.026077	0.008342	1.469394	-0.039040	0.054063	1.925894	-1.610241	547.722397	-0.014457	-0.044121
0.660000	0.026077	0.008342	1.469394	-0.039040	0.054063	1.225550	-2.080589	544.285324	-0.014302	-0.043686
0.665000	-0.051695	0.085599	0.081439	-0.688466	-3.732199	0.836533	-2.393990	540.498741	-0.014724	-0.043804
0.670000	-0.363418	-0.380478	-2.695652	0.000000	0.000000	1.303242	-1.532253	546.688286	-0.014790	-0.042650
0.675000	0.883156	0.785665	8.063952	0.013177	-0.004123	2.236942	-0.200409	555.629128	-0.014797	-0.042015
0.680000	-0.130104	-0.302904	-0.265352	0.000000	0.000000	1.380381	-0.905445	549.094757	-0.014836	-0.042661
0.685000	-0.207875	-0.069549	-1.654490	0.000000	0.000000	0.991640	-1.140617	547.031181	-0.014878	-0.042467
0.690000	0.103848	0.163490	0.426653	-0.281030	-0.045839	0.602345	-1.219090	543.249268	-0.014859	-0.042236
0.695000	-0.129785	-0.147439	-3.042049	0.000000	0.000000	-0.097723	-1.688953	537.397980	-0.015334	-0.043559
0.700000	0.181620	0.318954	2.857743	-0.021247	0.025369	1.069611	-0.278881	548.401604	-0.015501	-0.041358
0.705000	0.415890	0.397162	4.940464	-0.013347	-0.024346	0.991640	-0.278881	548.746437	-0.015378	-0.041505
0.710000	-0.130104	-0.069232	-0.612539	0.000000	0.000000	0.602345	-0.592041	546.337639	-0.015543	-0.041503
0.715000	-0.285965	-0.147123	-3.043629	0.000000	0.000000	0.446680	-0.748985	544.273689	-0.015598	-0.041656
0.720000	-0.052013	-0.147123	-0.266141	0.000000	0.000000	0.602345	-0.592041	547.021492	-0.015963	-0.041451
0.725000	0.337481	0.474736	3.552114	-0.018098	-0.034312	0.524651	-0.670757	545.303146	-0.015901	-0.041057
0.730000	0.571433	0.630200	6.328812	-0.010949	-0.019833	-0.097723	-1.062149	538.766449	-0.016187	-0.042068
0.735000	-0.130104	-0.069549	0.081439	-0.667285	-3.690288	0.057941	-0.983917	543.237267	-0.016166	-0.040854
0.740000	0.103530	0.241380	3.205324	-0.037384	-0.006670	0.291018	-0.356869	545.643723	-0.016212	-0.041218
0.745000	-0.129785	-0.147123	-0.265352	0.000000	0.000000	0.758286	0.112995	550.112198	-0.016423	-0.040386
0.750000	-0.130104	-0.147123	-2.695652	0.000000	0.000000	-0.020308	-0.356869	544.954063	-0.016442	-0.040576
0.755000	0.649523	0.708091	5.634441	-0.034170	-0.022619	0.291018	0.034763	546.670853	-0.016731	-0.039946
0.760000	0.649523	0.552627	4.940464	0.010236	0.013656	-0.253662	-0.356869	543.921120	-0.016575	-0.040827
0.765000	0.025440	0.241380	1.469394	0.043761	0.180675	-0.720371	-0.827217	539.791260	-0.016910	-0.041122
0.770000	0.025758	-0.069232	2.511346	-0.047115	-0.081785	-0.020308	-0.043705	545.981186	-0.016961	-0.039646
0.775000	-0.285965	-0.225014	-0.613722	0.000000	0.000000	-0.409603	-0.356869	541.855217	-0.016856	-0.040635
0.780000	-0.285965	-0.302588	-1.306910	0.000000	0.000000	0.213047	-0.043705	547.011810	-0.017047	-0.039745
0.785000	0.026395	0.008342	-2.348072	0.000000	0.000000	0.213047	0.112995	547.011810	-0.017047	-0.039751
0.790000	0.181620	0.397162	1.121814	0.000036	0.148395	-0.098000	-0.043705	545.291138	-0.017201	-0.039696
0.795000	1.584693	1.562988	15.005303	-0.018223	-0.016167	0.368710	0.269695	547.009872	-0.017274	-0.039412
0.800000	0.337481	0.475052	3.204534	-0.001079	-0.008208	-0.409603	-0.278881	540.132599	-0.017246	-0.040591
0.805000	0.025758	0.008342	2.163766	-0.026572	-0.051536	0.135077	-0.043945	545.632103	-0.017530	-0.039498
0.810000	-0.441508	-0.458052	-3.389630	0.000000	0.000000	0.290462	0.112755	545.976929	-0.017415	-0.039653
0.815000	-0.130104	-0.147123	0.079862	-2.196839	1.034829	0.679480	0.583099	551.133537	-0.017590	-0.038442
0.820000	-0.052013	-0.069549	-0.266142	0.000000	0.000000	-0.098833	-0.122177	545.976929	-0.017399	-0.039643
0.825000	-0.207875	-0.069549	-2.348468	0.000000	0.000000	-0.721485	-0.748985	538.752495	-0.017726	-0.040326
0.830000	0.571433	0.707774	5.287651	-0.024556	0.030088	-0.410158	-0.278881	541.845139	-0.017967	-0.039940
0.835000	-0.285965	-0.380478	-2.695652	0.000000	0.000000	-0.721485	-0.905689	540.469307	-0.018002	-0.039667
0.840000	-0.987183	-0.846872	-6.513908	0.000000	0.000000	-0.643791	-0.827457	539.779640	-0.018252	-0.039370
0.845000	-0.441508	-0.380478	-3.043233	0.000000	0.000000	-0.099112	-0.122177	545.628227	-0.017962	-0.039147
0.850000	-0.519598	-0.380478	-4.430398	0.000000	0.000000	-0.410715	-0.122177	545.625908	-0.018170	-0.039494
0.855000	-0.831321	-0.614150	-6.166328	0.000000	0.000000	-0.877703	-0.827217	542.184158	-0.018492	-0.039369
0.860000	0.181620	0.241064	2.163766	-0.028157	-0.053902	-0.955397	-0.827457	541.153152	-0.018414	-0.039619
0.865000	0.415890	0.474736	3.899695	-0.001329	-0.006743	-1.111057	-0.827217	539.434410	-0.018356	-0.039571
0.870000	-0.052013	-0.069549	-0.265352	0.000000	0.000000	-0.255053	-0.200649	547.340759	-0.018667	-0.038504
0.875000	-1.454449	-1.235692	-12.413701	0.000000	0.000000	-1.266998	-0.827217	538.053917	-0.018846	-0.040026
0.880000	-1.221135	-1.080544	-11.026142	0.000000	0.000000	-0.722040	-0.278881	545.277199	-0.018721	-0.038300
0.885000	0.259710	0.008342	2.511346	-0.049165	-0.082464	-0.411270	0.034527	546.653038	-0.018685	-0.038216
0.890000	-0.129785	-0.147439	-0.959329	0.000000	0.000000	-0.955671	-0.200649	543.213242	-0.018785	-0.038797
0.895000	0.961246	0.941130	5.982022	-0.023162	-0.006184	-0.722040	-0.122177	542.524734	-0.018819	-0.039200
0.900000	0.104167	0.085599	0.429020	0.286660	-0.040075	-0.644627	-0.200409	542.868408	-0.018921	-0.038647
